compound,occurences
36.94125,315926
19.52538462,250140
13.12375,245569
20.361875,214830
14.6988,207155
21.09,203683
21.57529412,198366
37.0488,192000
19.6197619,189049
37.07363636,185017
11.84727273,183551
21.34820513,182285
8.307142857,180011
17.81857143,179760
14.29833333,179279
20.568,179136
38.54714286,177046
19.72268293,176358
21.12214286,170362
8.516153846,170234
10.32285714,169074
15.20823529,161063
19.86137931,155881
16.85142857,150883
37.00818182,142437
13.86416667,141068
11.04931818,140258
24.55375,138059
8.23,138048
19.14,137706
37.56363636,137410
23.216,135474
17.40942623,135413
33.63655172,134578
20.51086207,134204
12.66740741,133896
14.58888889,133837
8.47375,133049
12.79166667,132227
14.64409091,131495
16.3974359,129858
22.55076923,128930
15.74219178,127973
23.134,127499
15.62272727,124785
13.26172414,122233
13.7290678,122122
36.91333333,121500
15.11,119414
38.5183871,118981
21.49942857,115373
17.325,113974
16.1575,112651
15.538,112335
20.8027027,109775
11.81888889,107880
17.51333333,104846
20.45466667,102308
15.695,101912
15.82555556,98982
16.97470588,97691
22.35833333,97360
24.59083333,97327
19.05166667,95125
25.00285714,95002
8.545666667,94946
36.97166667,94863
13.79738095,93941
22.11166667,93485
22.59444444,90522
25.8425,90455
29.02866667,90378
16.20714286,90143
23.51777778,90085
16.71571429,89517
26.91857143,89481
26.054,89374
20.84133333,89334
8.904761905,89101
26.32,88985
21.00333333,87239
14.52461538,86335
23.39454545,85917
27.68736842,85694
19.20891892,85681
22.16,85127
14.37,84841
24.325,84156
21.21238095,83552
15.30333333,82883
27.21666667,82112
9.7,81397
13.18133333,81397
20.18,80205
26.1875,80014
26.78859155,79645
27.04857143,79561
23.07416667,78853
12.72882353,78628
21.82333333,77972
28.34,77863
22.424,77246
28.00727273,76201
22.861,75787
26.509,75242
28.154,74926
8.061111111,74552
24.26,74534
24.72,74105
22.262,73930
31.5425,73789
23.2525,73782
30.6275,73344
23.68416667,71905
19.97269231,71512
36.111,71154
17.62533333,70335
34.26230769,67717
12.39733333,67166
28.76285714,67005
25.925,65136
31.61,65111
16.2865,64333
22.98714286,64001
18.844,63833
22.7275,63412
24.66947368,62785
17.95647059,62684
22.76894737,62368
21.405,61619
15.375625,57777
11.23666667,57576
18.22411765,57407
15.2425,52998
9.693125,52192
10.75428571,51449
37.10666667,51052
19.66514286,50626
15.45769231,50156
18.71884615,49755
9.755306122,48490
22.62611111,45593
14.05666667,44403
10.471875,43695
18.295,43665
25.355,41887
30.80365385,39960
36.28,39167
23.44,38406
9.776,37775
23.036,36815
24.965,30689
21.90571429,29901
20.25794118,28044
10.255,27398
35.4325,26832
24.7775,25474
26.97666667,24900
35.386,23401
9.26,23174
31.1275,23033
23.8125,21594
27.772,19744
33.664,15426
32.61666667,14957
15.865,12621
24.63,7584
13.24,6871
8.99,5742
13.35666667,5400
36.235,3205
