"","colony","family","age"
"M10",2,10,1
"M12",2,12,1
"M14",2,14,1
"M15",1,15,1
"M16",2,16,1
"M17",2,17,1
"M18",2,18,1
"M19",1,19,1
"M2",1,2,1
"M20",2,20,1
"M21",2,21,1
"M23",2,23,1
"M24",2,24,1
"M25",2,25,1
"M26",1,26,1
"M27",1,27,1
"M28",1,28,1
"M29",1,29,1
"M3",1,3,1
"M30",2,30,1
"M31",2,31,1
"M33",2,33,1
"M35",2,35,1
"M36",2,36,1
"M37",1,37,1
"M38",2,38,1
"M39",2,39,1
"M4",1,4,1
"M40",1,40,1
"M41",1,41,1
"M43",1,43,1
"M44",1,44,1
"M45",1,45,1
"M46",1,46,1
"M47",1,47,1
"M48",1,48,1
"M5",1,5,1
"M6",2,6,1
"M7",2,7,1
"M8",2,8,1
"M9",1,9,1
"P10",2,10,2
"P12",2,12,2
"P14",2,14,2
"P15",1,15,2
"P16",2,16,2
"P17",2,17,2
"P18",2,18,2
"P19",1,19,2
"P2",1,2,2
"P20",2,20,2
"P21",2,21,2
"P23",2,23,2
"P24",2,24,2
"P25",2,25,2
"P26",1,26,2
"P27",1,27,2
"P28",1,28,2
"P29",1,29,2
"P3",1,3,2
"P30",2,30,2
"P31",2,31,2
"P33",2,33,2
"P35",2,35,2
"P36",2,36,2
"P37",1,37,2
"P38",2,38,2
"P39",2,39,2
"P4",1,4,2
"P40",1,40,2
"P41",1,41,2
"P43",1,43,2
"P44",1,44,2
"P45",1,45,2
"P46",1,46,2
"P47",1,47,2
"P48",1,48,2
"P5",1,5,2
"P6",2,6,2
"P7",2,7,2
"P8",2,8,2
"P9",1,9,2
